replication,delta_E
244,-0.40875952816182354
245,-0.41805836805079616
246,-0.3783237202308177
247,-0.1860585617338808
248,-0.2544577777229927
249,-0.1069661543427892
250,-0.30850722974602174
251,-0.20414156299142847
252,-0.44419839136781103
253,-0.22490344649174882
254,-0.24579380683701896
255,-0.24388532365083423
256,-0.4214621957140894
257,-0.22708526115829494
258,-0.08202570893762343
259,-0.283006360082729
260,-0.23997618433507212
261,-0.2439587677277915
262,-0.15656493158389395
263,-0.4221024457985163
264,-0.3457061193144081
265,-0.34026823281719365
266,-0.4518328696596703
267,-0.3716965006633086
268,-0.3940773028533194
269,-0.2545276663814445
270,-0.31651775507057933
271,-0.3620379141438892
272,-0.185128094954638
273,-0.23637976392774387
274,-0.21849408308060217
275,-0.28971178933544306
276,-0.05691748773590273
277,-0.19196860587464734
278,-0.07895469965239835
279,-0.25581622263856874
280,-0.2501873742523677
281,-0.3668704202971843
282,-0.3396254167361351
283,-0.43598200980456536
284,-0.2280549893016647
285,-0.1933421842523473
286,-0.2382854948100056
287,-0.24171329893838245
288,-0.32208118768051514
289,-0.19781572317724583
290,-0.2277412172844248
291,-0.19515349256061307
292,-0.27772943762480556
293,-0.11327282737296374
294,-0.4526392749196469
295,0.0024928054454264495
296,-0.18394169027347354
297,-0.31885132182510795
298,-0.24264833523156845
299,-0.4186496394105062
300,-0.3779327568777097
301,-0.37166961610583954
302,-0.2173511727378684
303,-0.21626005184865307
304,-0.2748537437478021
305,-0.24804458209217994
306,-0.19297567028779708
307,-0.20509263654312895
308,-0.10109978161762999
309,-0.2547723183736278
310,-0.3912599153795851
311,0.044225292134695365
312,-0.268703984506891
313,-0.11246993842796453
314,-0.18540162536203908
315,-0.28759095041671545
316,-0.3329947511491036
317,-0.22538487351610728
318,-0.18522024104686827
319,-0.2870977970377107
320,-0.22642062979388133
321,-0.10632742264546538
322,-0.3035322009208771
323,-0.3578711510507775
324,-0.07178101200142634
325,-0.2370274790684292
326,-0.24431932731510933
327,-0.3453380141187387
328,-0.31217958384839356
329,-0.09978307832080774
330,-0.2071974019492995
331,-0.34137925043158723
332,-0.11396365124496886
333,-0.1665987558593197
334,-0.2960067787304256
335,-0.43228473362605996
336,-0.1305926441669379
337,-0.24777675654583461
338,-0.33413896333997595
339,-0.0229415819472489
340,-0.02010756163383463
341,-0.18118133087193342
342,-0.0780582597580871
343,-0.23328138557851483
344,-0.15002224438531128
345,-0.16324290529650026
346,-0.21294407289840295
347,-0.36181831607762766
348,-0.335586735895015
349,-0.32393068827603844
350,-0.3177873798907296
351,-0.2689701772376888
352,-0.06887808452470594
353,-0.22545437341915625
354,-0.45921009164656335
355,-0.10381117656286826
356,-0.23078452434095806
357,-0.22101073361872334
358,-0.1339048763699624
359,-0.08443307199126174
360,-0.24559705954031527
361,-0.3578582030821719
362,-0.20016167119739248
363,-0.322384834209219
364,-0.1585945515711185
365,-0.14704543680924845
366,-0.23034929625209946
367,-0.3884616606260951
368,-0.1477732693996899
369,-0.018126271323624772
370,-0.1510386678105826
371,-0.025163701102839716
372,-0.2936725131074683
373,-0.19349852885595034
374,-0.009179058147786506
375,-0.15045646184564357
376,-0.24461846263951748
377,0.11005196349829376
378,-0.4526424094949388
379,-0.3394434289012737
380,-0.30887595190067046
381,-0.0387529661697657
382,-0.3812304435144916
383,-0.24670825946989786
384,-0.176922297330569
385,-0.1450834372217809
386,-0.16693779053359079
387,-0.3884472657862066
388,-0.26552561255277546
389,-0.2827168224511694
390,-0.00611936071488146
391,-0.3475442788467589
392,-0.23856731875460854
393,-0.4429739675968398
394,-0.21123538612144052
395,-0.3817175011614631
396,-0.3013069056861878
397,-0.2896598070859647
398,-0.2523778509541033
399,-0.21166311994370718
400,-0.08507090788675216
401,-0.3634607126562274
402,-0.20822268410798145
403,-0.3736190578175686
404,-0.0740702253020311
405,0.011186933410953377
406,-0.1884010571049062
407,-0.18797535514819305
408,-0.05880474598731276
409,-0.12535591001164023
410,-0.32920284762866314
411,-0.2702623029851165
412,-0.14485951631528765
413,-0.23847007435669124
414,-0.266998406337774
415,-0.3647915418009069
416,-0.2942670573304746
417,-0.11442940855685314
418,-0.3334429804214312
419,-0.29845906735679867
420,-0.25359392949333426
421,-0.09926461759750767
422,-0.4079749880208568
423,-0.25635592047250755
424,-0.11376424301838774
425,-0.36958791733170276
426,-0.20076781720014292
427,-0.2457374177811632
428,-0.2837466650190262
429,-0.32178013695668833
430,-2.6457560720116406e-05
431,-0.18103363921749227
432,-0.10431447629157536
433,-0.36527739687016736
434,-0.2844674786762908
435,-0.16808947911226613
436,-0.04586738109529614
437,-0.34640463474421096
438,-0.5224589645571343
439,-0.2919097024367151
440,-0.18880795342863474
441,-0.2457326396079156
442,-0.1563660986740228
443,0.021361425383438073
444,-0.026657048723494295
445,-0.3165728376298807
446,-0.13543876624209805
447,-0.14922697046313907
448,-0.2132827419637262
449,-0.30590207011407283
