Date,TAN ret,SPY ret,ICLN ret,p,Δp
2024-06-04,-0.014959472863270151,0.0011177707859701957,-0.009283891188176963,0.555,0.020000000000000018
2024-06-05,0.023623716009226303,0.011884941213510247,0.008032143680833048,0.555,0.0
2024-06-06,-0.021017969213531607,-1.864024675468645e-05,-0.009960194451831383,0.545,-0.010000000000000009
2024-06-07,-0.033045645790498956,-0.0012157418997532643,-0.025486222030080108,0.555,0.010000000000000009
2024-06-10,0.02873306546836729,0.0030900059757721365,0.017205773734578766,0.565,0.009999999999999898
2024-06-11,0.012061021852977083,0.0024082213728828794,0.003132687141824686,0.555,-0.009999999999999898
2024-06-12,0.009617393750653624,0.00821287495450207,0.009504441272165653,0.565,0.009999999999999898
2024-06-13,-0.024228648582822476,0.002013394066687768,-0.013449948537527234,0.565,0.0
2024-06-14,-0.028013600990216103,0.0006086168451322482,-0.022494807054924237,0.565,0.0
2024-06-17,-0.018995608150241927,0.00795871175044316,-0.015341736827801156,0.565,0.0
2024-06-18,0.0040062500709245885,0.0025409495828079276,0.00141634526229506,0.565,0.0
2024-06-20,-0.029705176474047468,-0.002716672394016739,-0.013437014658845947,0.565,0.0
2024-06-21,-0.012337185516110405,-0.0013407223559952497,-0.002867422373747597,0.565,0.0
2024-06-24,-0.006245690796139125,-0.0032505104166534737,0.010064803101748288,0.585,0.020000000000000018
2024-06-25,-0.03049346153736321,0.003850638643770221,-0.01850534276117688,0.595,0.010000000000000009
2024-06-26,-0.009603864298544318,0.0012483859056016122,-0.005801383588980413,0.595,0.0
2024-06-27,0.019636359513442114,0.0015762324036823205,0.004376462888651789,0.605,0.010000000000000009
2024-06-28,-0.04398482072016363,-0.003935179996862104,-0.03267983985350853,0.625,0.020000000000000018
2024-07-01,-0.02412328245504769,0.0020582538182398746,-0.0007506317466507983,0.675,0.050000000000000044
2024-07-02,-0.006625975998653999,0.006729662300142714,-0.003756569175016211,0.65,-0.025000000000000022
2024-07-03,0.04002064101829017,0.004462634526017029,0.02488671221688077,0.615,-0.03500000000000003
2024-07-05,-0.0130736185603888,0.005766484349109424,0.0014717265752295372,0.605,-0.010000000000000009
2024-07-08,0.0109973542613655,0.001153984236467176,0.00661282023509413,0.605,0.0
2024-07-09,0.00692210440920582,0.0009723971750748017,0.0,0.625,0.020000000000000018
2024-07-10,0.016204188035708444,0.009895169232495116,0.011678846578052404,0.625,0.0
2024-07-11,0.04542167364622829,-0.00862234394006045,0.02741707871256227,0.6,-0.025000000000000022
2024-07-12,0.028426171345534046,0.006307288783128584,0.011938173100263905,0.595,-0.0050000000000000044
2024-07-15,-0.058651690813764756,0.002750288222395536,-0.03886194820149447,0.705,0.10999999999999999
2024-07-16,0.037717839627571026,0.005930114860369873,0.01732854154157959,0.685,-0.019999999999999907
2024-07-17,-0.02829538579846802,-0.014021015983044616,-0.02058205942038327,0.675,-0.010000000000000009
2024-07-18,-0.012073887808028871,-0.0076850899114235816,-0.0036231842746546894,0.615,-0.06000000000000005
2024-07-19,-0.007907893222266482,-0.006640528727991368,-0.005818046421783962,0.645,0.030000000000000027
2024-07-22,0.005313920105724623,0.010309854435858412,0.011704404174412764,0.625,-0.020000000000000018
2024-07-23,-0.0043248634330005364,-0.0015685071166898767,-0.007230720254030709,0.605,-0.020000000000000018
2024-07-24,0.008687298244510533,-0.022662647248933188,0.013838337187741523,0.625,0.020000000000000018
2024-07-25,0.006698635593214819,-0.00521030965752034,0.0007184888589719662,0.615,-0.010000000000000009
2024-07-26,0.014496090055046373,0.01119967061635374,0.012921678534753456,0.585,-0.030000000000000027
2024-07-29,-0.024127430332583688,0.0005880315609070319,-0.008504652105476906,0.595,0.010000000000000009
2024-07-30,-0.01632261431263804,-0.005066325707866803,-0.0042886602228277,0.585,-0.010000000000000009
2024-07-31,0.028062514102212388,0.016254265675547108,0.015793146965332294,0.555,-0.029999999999999916
2024-08-01,-0.01708994571782274,-0.014160984898541451,-0.012014175680640338,0.535,-0.020000000000000018
2024-08-02,-0.02946154316153149,-0.018618143441709534,-0.002861198930564135,0.525,-0.010000000000000009
2024-08-05,-0.026623521746110157,-0.029123806647390005,-0.032998554854675954,0.535,0.010000000000000009
2024-08-06,0.0015337166301978566,0.009219607252822115,0.00519293056416914,0.515,-0.020000000000000018
2024-08-07,0.00714648159139375,-0.0066840439764359605,0.009594026042078596,0.485,-0.030000000000000027
2024-08-08,0.018753243003491793,0.023117299501307587,0.01681286029470508,0.4915,0.006500000000000006
2024-08-09,-0.02014924931906692,0.004409692610797711,-0.004313396145325332,0.476,-0.015500000000000014
2024-08-12,-0.0033004206109281675,0.0005252878444923503,-0.0021660765683142458,0.4585,-0.01749999999999996
2024-08-13,0.03565979262859553,0.01644584760098433,0.024602039333603942,0.4555,-0.0030000000000000027
2024-08-14,-0.014510567689756115,0.003154433774180898,-0.007062068908040953,0.447,-0.008500000000000008
2024-08-15,0.025954622056965748,0.017140511749472065,0.009245880449630484,0.443,-0.0040000000000000036
2024-08-16,-0.009973307780021146,0.002241993397156694,-0.0014092892781257804,0.4545,0.01150000000000001
