Date,TAN ret,SPY ret,p,Δp
2024-05-02,0.0295285648010434,0.0093533882002803,0.455,0.0
2024-05-03,0.0342250949103231,0.0123953961393381,0.465,0.01
2024-05-06,0.0079236068916823,0.0103267961756956,0.465,0.0
2024-05-07,-0.0043930341132456,0.001103605501622,0.465,0.0
2024-05-08,-0.0134696177750238,9.63605469861406e-05,0.455,-0.01
2024-05-09,0.0169491387763698,0.0057619872938741,0.445,-0.01
2024-05-10,-0.0263888899981356,0.0012882290294196,0.445,0.0
2024-05-13,0.0168806826027534,0.000134487984386,0.515,0.07
2024-05-14,0.023380840033766,0.0045879806170814,0.485,-0.03
2024-05-15,-0.000913852618362,0.0123830064617302,0.495,0.01
2024-05-16,-0.009146972752732,-0.0020577577775837,0.495,0.0
2024-05-17,-0.0166167366536195,0.0014377808545495,0.505,0.01
2024-05-20,-0.0079793036530347,0.0011521723456615,0.54,0.035
2024-05-21,0.0151406884348941,0.0024524663907805,0.545,0.005
2024-05-22,0.0897226465102529,-0.0028791604322409,0.55,0.005
2024-05-23,-0.0346449901824547,-0.0073043969175827,0.545,-0.005
2024-05-24,0.0522818494762533,0.0066165135755975,0.545,0.0
2024-05-28,0.0025262733803566,0.0006988698506149,0.565,0.0199999999999999
2024-05-29,-0.0004199845675595,-0.0070026289583889,0.565,0.0
2024-05-30,0.0294117552309525,-0.0066336971513156,0.535,-0.0299999999999999
2024-05-31,-0.0146938662467382,0.0091080931642824,0.545,0.01
2024-06-03,-0.0031068642022911,0.0008155969909677,0.535,-0.01
2024-06-04,-0.0149594728632701,0.0011177707859701,0.555,0.02
2024-06-05,0.0236237160092263,0.0118849412135102,0.555,0.0
2024-06-06,-0.0210179692135316,-1.864024675468645e-05,0.545,-0.01
2024-06-07,-0.0330456457904989,-0.0012157418997532,0.555,0.01
2024-06-10,0.0287330654683672,0.0030900059757721,0.565,0.0099999999999998
2024-06-11,0.012061021852977,0.0024082213728828,0.555,-0.0099999999999998
2024-06-12,0.0096173937506536,0.008212874954502,0.565,0.0099999999999998
